Year,ID Geography,Geography,Average Income,Population
"2015","04000US37","North Carolina",25926.04669359584,9845333
"2015","04000US38","North Dakota",32089.16649853112,721640
"2015","04000US39","Ohio",26864.333171359965,11575977
"2015","04000US40","Oklahoma",25023.299325953256,3849733
"2015","04000US41","Oregon",27723.34078232996,3939233
"2015","04000US42","Pennsylvania",29293.39778313164,12779559
"2015","04000US44","Rhode Island",31069.11673103371,1053661
"2015","04000US45","South Carolina",24544.92490752633,4777576
"2015","04000US46","South Dakota",26510.578996430224,843190
"2015","04000US47","Tennessee",25164.72837483451,6499615
"2015","04000US48","Texas",26925.093793669857,26538614
"2015","04000US49","Utah",24690.65327812869,2903379
"2015","04000US50","Vermont",30200.168884973602,626604
"2015","04000US51","Virginia",34120.97781104397,8256630
"2015","04000US53","Washington",31805.23362456667,6985464
"2015","04000US54","West Virginia",23468.162772358515,1851420
"2015","04000US55","Wisconsin",28163.741839464434,5742117
"2015","04000US56","Wyoming",29814.505310697816,579679
"2015","04000US72","Puerto Rico",11398.09096828337,3583073
"2014","04000US01","Alabama",23948.826308441534,4817678
"2014","04000US02","Alaska",33457.83827543595,728300
"2014","04000US04","Arizona",25547.516138849995,6561516
"2014","04000US05","Arkansas",22523.66567685625,2947036
"2014","04000US06","California",29828.63699442981,38066920
"2014","04000US08","Colorado",31641.520228737176,5197580
"2014","04000US09","Connecticut",38376.77347411076,3592053
"2014","04000US10","Delaware",30035.639805465293,917060
"2014","04000US11","District of Columbia",46542.25229433076,633736
"2014","04000US12","Florida",26373.083985614554,19361792
"2014","04000US13","Georgia",25321.92526985929,9907756
"2014","04000US15","Hawaii",29572.585083406095,1392704
"2014","04000US16","Idaho",23188.931812157072,1599464
"2014","04000US17","Illinois",30068.45344492358,12868747
"2014","04000US18","Indiana",24995.189434598346,6542411
"2014","04000US19","Iowa",27648.222224243662,3078116
"2014","04000US20","Kansas",27349.338039630296,2882946
"2014","04000US21","Kentucky",23746.379256409367,4383272
"2014","04000US22","Louisiana",24794.5803872117,4601049
"2014","04000US23","Maine",27189.829687588208,1328535
"2014","04000US24","Maryland",36517.39898800498,5887776
"2014","04000US25","Massachusetts",36379.481101509446,6657291
"2014","04000US26","Michigan",26067.498718579307,9889024
"2014","04000US27","Minnesota",31702.711219001347,5383661
"2014","04000US28","Mississippi",20794.2781307121,2984345
"2014","04000US29","Missouri",25942.483703691538,6028076
"2014","04000US30","Montana",25975.82449397339,1006370
"2014","04000US31","Nebraska",27288.14698291727,1855617
"2014","04000US32","Nevada",26426.890723584725,2761584
"2014","04000US33","New Hampshire",33943.087532899495,1321069
"2014","04000US34","New Jersey",36237.71688504451,8874374
"2014","04000US35","New Mexico",23805.71552742835,2080085
"2014","04000US36","New York",32756.604808023545,19594330
"2014","04000US37","North Carolina",25612.765861520624,9750405
"2014","04000US38","North Dakota",30852.143464907615,704925
"2014","04000US39","Ohio",26467.2098488112,11560380
"2014","04000US40","Oklahoma",24660.43730954677,3818851
"2014","04000US41","Oregon",27185.567349333123,3900343
"2014","04000US42","Pennsylvania",28920.039753803063,12758729
"2014","04000US44","Rhode Island",30612.17173519394,1053252
"2014","04000US45","South Carolina",24226.833349375,4727273
"2014","04000US46","South Dakota",26292.878352669435,834708
"2014","04000US47","Tennessee",24748.773993720708,6451365
"2014","04000US48","Texas",26453.93010993049,26092033
"2014","04000US49","Utah",24247.95151762825,2858111
"2014","04000US50","Vermont",29545.580923369704,626358
"2014","04000US51","Virginia",33909.24493499249,8185131
"2014","04000US53","Washington",31218.904863125357,6899123
"2014","04000US54","West Virginia",23262.144657612866,1853881
"2014","04000US55","Wisconsin",27831.116433862295,5724692
"2014","04000US56","Wyoming",29382.86392548644,575251
"2014","04000US72","Puerto Rico",11315.294761010342,3638965
